1723,2.74,124.32,9597,2
701,2.16,136.93,10149,3
3562,1.76,131.68,10572,2
1267,2.26,39.33,7451,5
5364,2.49,18.72,7790,5
1394,1.85,126.09,9816,4
1351,1.94,142.73,10785,2
9373,1.58,132.61,10054,4
3852,1.77,135.81,10405,2
2119,2.03,88.74,9396,5
1995,2.04,127.46,9979,2
431,2.09,123.34,9439,3
1970,2.18,90.94,8706,4
3580,1.83,63.8,9321,5
2799,1.99,59.81,9024,5
736,1.94,127.99,9938,3
2978,2.15,101.52,8947,3
3471,1.72,143.18,10994,2
9221,1.87,140.71,10371,4
1845,1.6,141.93,10255,2
12773,2.06,127.8,10112,1
4793,1.96,114.45,9922,3
10021,2.1,145.08,10551,1
5157,1.99,30.61,7558,5
9236,2.27,47.77,8512,5
2498,2.19,108.2,9880,2
7884,2.34,138.78,10482,1
1866,1.9,122.72,9533,3
7798,1.52,142.42,10832,2
5243,2.01,32.23,7519,5
8227,1.76,130.39,10345,2
2958,2.2,61.04,8929,5
2001,1.97,156.99,10600,3
1698,1.64,157.54,10533,4
2753,2.59,15.34,7439,5
833,1.99,118.15,10037,4
2477,1.77,134.34,9825,4
4014,2.03,96.8,9147,4
1747,1.8,128.79,9782,4
10176,1.98,133.88,10260,1
2930,1.4,143.85,10060,4
1801,2.29,98.95,9437,5
7341,1.85,129.7,9917,2
2114,1.61,129.93,10236,4
1189,2.33,101.53,9385,3
2526,2.1,110.82,10145,3
6664,1.63,122.59,9905,5
1461,1.94,122.83,9148,4
5212,2.18,115.56,9549,3
4373,2.44,103.75,9125,4
2496,1.97,112.6,9810,3
4408,2.22,19.76,7178,5
13372,2.24,60.16,8700,5
2159,1.49,140.32,10396,4
1256,2.06,129.53,9658,2
3146,2.03,138.28,10546,2
5838,1.99,39.89,7690,5
1225,1.55,119.98,9275,4
4326,2.04,132.52,10815,3
1032,1.74,133.25,10521,1
3331,1.76,130.59,10248,3
1892,1.7,150.01,10306,2
4543,1.68,143.28,10186,4
5885,1.48,132.48,10264,4
5857,2.47,40.18,8502,5
2358,1.54,126.21,9609,4
4759,1.94,125.4,10045,2
1098,2.31,57.59,8118,5
6941,1.93,139.62,10289,1
2616,1.8,127.41,9947,4
1358,2.3,133.56,9750,3
2479,1.88,103.41,9156,3
4073,2.01,148.79,10840,1
2218,1.99,145.45,10178,1
4216,1.84,42.24,9966,5
2369,1.71,122.38,9615,4
6570,1.71,139.16,10402,2
7899,1.55,149.92,10646,3
3179,1.62,132.48,10218,2
2329,2.24,31.48,7596,5
2555,1.98,136.45,11070,1
2652,1.95,127.0,10352,1
3932,1.51,164.68,11023,4
5417,1.63,126.85,10276,1
488,1.84,129.28,9660,2
1192,1.89,33.56,7170,5
1659,2.11,25.14,7521,5
1951,1.89,160.23,10737,2
5304,1.83,133.63,10454,1
1231,1.48,144.4,9832,4
3355,1.8,128.61,10377,2
2875,1.56,124.2,9939,2
1890,2.2,29.01,7348,5
4231,1.54,124.76,9782,4
2916,1.63,144.26,10197,4
2582,1.82,130.3,9999,1
3701,1.91,142.71,10515,1
1470,2.14,37.37,7894,5
2030,1.83,116.97,10094,3
540,1.95,121.34,9496,3
825,2.12,111.97,8735,2
5260,1.49,142.55,10409,3
1681,1.8,128.95,9918,2
1743,2.03,39.73,7904,5
1147,1.63,125.02,9554,3
1601,2.15,30.93,7330,5
971,1.77,111.47,9073,4
4830,1.71,119.06,9603,2
954,1.8,138.93,10386,1
4904,2.06,128.02,9958,1
1283,1.84,82.75,8611,5
2723,1.69,91.91,9181,5
2105,1.84,117.92,10140,2
377,1.64,107.65,9549,2
4133,1.53,130.45,9800,4
2181,1.65,136.13,9747,4
2446,1.76,128.57,10450,3
1304,1.73,124.35,10238,3
3182,2.02,120.95,9440,2
2112,1.64,119.17,9282,2
1000,2.16,128.5,10270,2
976,1.99,125.24,10051,3
619,1.7,115.97,9749,2
1288,1.89,130.4,9825,3
2310,1.79,118.83,9874,2
788,1.71,147.87,10699,4
2436,1.8,137.55,10069,1
5780,2,35.95,7556,4
605,1.67,118.59,9371,2
1177,1.81,110.55,9125,4
1363,1.75,134.43,9581,4
1935,1.59,132.34,9872,4
2262,1.62,103.96,9248,3
1005,1.61,119.11,9635,4
986,1.62,108.26,9293,2
2227,1.67,135.02,9922,1
453,1.56,115.87,9566,2
2151,1.5,155.18,10592,4
708,1.78,147.58,10500,4
620,1.57,115.27,9514,3
988,1.52,139.93,9589,3
1363,1.59,133.26,10580,4
432,1.87,139.06,10222,3
1068,2.15,109.52,9091,3
5133,3.48,7.81,6904,5
4662,1.77,114.14,9677,3
2736,1.45,123.72,9630,2
1641,1.78,105.24,8900,3
754,1.36,128.84,9370,3
